goos: linux
goarch: amd64
pkg: github.com/xilapa/go-tiny-projects/lfu-cache
cpu: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
BenchmarkLinkedListItemCast-8   	 2838565	       642.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3951843	       303.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3970106	       305.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3957705	       303.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3922984	       610.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3963986	       304.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3959122	       305.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3953577	       303.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3936950	       305.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3949210	       304.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3903560	       303.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3960828	       415.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3951456	       304.2 ns/op	     104 B/op	       4 allocs/op
PASS
ok  	github.com/xilapa/go-tiny-projects/lfu-cache	186.751s
